case_id,lat,lon,location_desc,report_date
0091,22.3811,114.1911,Shatin Racecourse (Water Runoff),2026-01-20
0092,22.4955,114.1255,Kwu Tung (Site Muddy Water),2026-01-20
0093,22.3411,114.1555,Mei Foo (Pipe Fatigue Report),2026-01-20
0094,22.3011,114.1811,Hung Hom (Supply Restoration),2026-01-20
0095,22.2611,114.2411,Siu Sai Wan (Stormwater Trace),2026-01-20
0096,22.2811,114.1411,Sai Ying Pun (Drainage Block),2026-01-20
0097,22.3555,114.1155,Tsuen Wan West (Water Discoloration),2026-01-20
0098,22.4155,114.2111,University Station (Slope Drain),2026-01-20
0099,22.2311,114.2111,Tai Tam (Reservoir Turbidity),2026-01-20
0100,22.3211,114.1611,Prince Edward (Street Drainage),2026-01-20
0100,22.3211,114.1611,Prince Edward (Street Drainage),2026-01-20
0101,22.346722258492456, 114.06401775913089, " Ma Wan Tai Leng Tau", 2026-01-21
